state,gasoline,diesel,ethanol_flex_e85,electric_ev,plug-in_hybrid_electric_phev,hybrid_electric_hev,biodiesel
Alabama,-0.0026456576574357404,-0.00017235479933190925,-0.0020800873417714527,0.0009010871897117082,0.00019440173572666045,0.002819343828709237,0.0009832670443915177
Alaska,-0.003426040704454736,-0.0002714055752052816,-0.0015380712846456146,0.0011502031712908676,0.0003244040069494633,0.002306500683619147,0.0014544097024461917
Arizona,-0.006414900261233036,-0.00018334271361548568,-0.001837837063120934,0.0031474383744862205,0.0005293749828885648,0.003802716772256857,0.0009565499083378295
Arkansas,-0.0019108780673209314,-0.0001033016539600945,-0.002491712338753088,0.0008519076633983608,0.00020732100145542248,0.0026034197063910317,0.0008432436887892709
California,-0.011511829098608484,-0.00023947731460486135,-0.0006808295819822688,0.006887858762290658,0.0008008629848664985,0.004416288343119655,0.00032712590491872345
Colorado,-0.009482575859264819,-0.0009371635976756429,-0.0020551361975442717,0.006609920709564079,0.001987886842377274,0.0031192893078047963,0.0007577787947386089
Connecticut,-0.006987208216947427,-0.0005090527193980145,-0.0007171093773825979,0.002770445476574101,0.0014609615253181954,0.003608786155434144,0.0003731771564014952
Delaware,-0.0058991161670775005,-0.00042000086508931986,-0.0015074902316997568,0.0028963190449413905,0.0008496618942572488,0.0036765575212307326,0.00040406880343728854
District of Columbia,-0.01272334226232441,7.331171577611758e-05,-0.0012669768316180274,0.006833967761642933,0.002101915816846031,0.0046396290552500885,0.00034149474442721314
Florida,-0.008292378300629677,-0.00011067536934608255,-0.001656486188471945,0.0041656874414967,0.0006757423839116989,0.0043539176624454515,0.000864192370593906
Georgia,-0.0050605276771295005,-0.00018045387789428213,-0.0019074608891800071,0.0028047227991973046,0.00036905156156308294,0.0031020786795458027,0.0008725894038976341
Hawaii,-0.00730566182195358,-0.00010741312668075507,-0.0014274875174703633,0.00396643964887685,0.0012923804621575224,0.003306544716814061,0.00027519763825624823
Idaho,-0.005148271599273668,-0.0003248932133151916,-0.0009115788760170329,0.0011572356510830273,0.0004487596893132215,0.002754390412656061,0.002024357935553625
Illinois,-0.005191041972005372,-0.0002452574561847276,-0.0019738559162174873,0.002501464970363059,0.0006712757393616034,0.003795729677501934,0.00044168495718106913
Indiana,-0.0026923963024955144,-0.0004239814616292491,-0.0016228356724338061,0.0013505138975998263,0.00037494426364432197,0.0024452184296391843,0.0005685368456752483
Iowa,-0.002151333333979877,-0.00010995783144828603,-0.0023234940874927446,0.0008456283807510394,0.00037106960279130637,0.002564584419576455,0.0008035028498021152
Kansas,-0.002466322329403803,-0.00028974735830561427,-0.0021239465149562875,0.0011678782029140595,0.00035630597590455585,0.002561200506008776,0.0007946315178383526
Kentucky,-0.0032011413959115442,-0.00011960497751137625,-0.00111356492740404,0.0008959412372921993,0.00022020931562408206,0.0023646098384433427,0.0009535509094673773
Louisiana,-0.0018725059383705167,-9.441171326565051e-05,-0.0025350537497138836,0.0008986460908126533,0.00015708512619052695,0.002474196178008061,0.0009720440063387438
Maine,-0.003580779342252649,-0.00034062751347496006,-0.003086782636194954,0.0017499831517117778,0.0011863283606542126,0.0032619069259763704,0.0008099710535801677
Maryland,-0.008524925598757949,-0.00032490061788708474,-0.0020213951399972105,0.004638215850051468,0.001094083732139717,0.004803856715061679,0.0003350650593893587
Massachusetts,-0.007344518100053654,-0.0004302516588829096,-0.001396240838140661,0.003035238176818972,0.0014621496666503957,0.004377664748890613,0.0002959580047171904
Michigan,-0.005565142011553559,-0.0002716874929674165,-0.0017695004659968733,0.0029465689001907268,0.0005034324938173302,0.0035343788217136463,0.0006219497547961441
Minnesota,-0.0031051084567649267,-0.0005410091276405148,-0.002951340340714176,0.0019005116729017514,0.0007337245758948386,0.0033233248853955337,0.0006398967909275327
Mississippi,-0.0022384968969717534,-0.0001122913126355117,-0.0015498314990058937,0.00047635121175124595,0.00014611014430870005,0.0022661489884035803,0.001012009364149663
Missouri,-0.0016701925312919697,-0.0008859813544893555,-0.0027886728767278213,0.0011971974987062678,0.00046532705014729015,0.002835097297523504,0.0008472249161321117
Montana,-0.0012177154210774033,-0.001813151611436123,-0.004164068743515298,0.0008981302094771583,0.000640402373421398,0.0031594229629861893,0.00249698023014408
Nebraska,-0.0026788160095526647,-0.00032335625597225415,-0.0020382509549460165,0.00108588686416234,0.00043942025051134544,0.002537424490781516,0.0009776916150157303
Nevada,-0.009892835482857465,-0.000555112607407475,-0.0019101695463615703,0.006664979984086796,0.000999510370094282,0.004094558673973535,0.0005990686084719303
New Hampshire,-0.0039055445361265706,-0.0006179191250768254,-0.0027359000861953697,0.001929769922485957,0.0010944041636782925,0.003781541483709759,0.00045364817752471115
New Jersey,-0.008647885682733003,-0.00045963006728843604,-0.0013730215702782225,0.005018995886103553,0.0013695093408638082,0.003861101338259114,0.00023093075507323165
New Mexico,-0.004469937619351549,-0.0002595205369940179,-0.0017302280493127625,0.0013841390158174632,0.00045964987455220747,0.0031540407187317793,0.0014618565965568257
New York,-0.00805725996011597,-0.00023578325483919818,-0.0012354731900364943,0.0032591569288221434,0.0016893957362954636,0.004149319305356398,0.00043064443451774296
North Carolina,-0.004796460742808151,-0.00027811651749597155,-0.0022807517247287884,0.0022012770569450604,0.0004772625893626043,0.0038813686595830683,0.0007954206791421382
North Dakota,-0.0007053869222125586,-0.00012100673804796985,-0.0035058376247961154,0.0003615313877857319,0.00023916253200580704,0.0022636812847241037,0.0014678560805410704
Ohio,-0.00443962961489297,-0.00019455261297296814,-0.001419900296881299,0.0018078124607334095,0.0005366070665030038,0.0031739082261578455,0.0005357547713530121
Oklahoma,-0.004730912010647903,0.0005899368020081258,-0.0012292461650929981,1.4746859193759052e-05,0.0004004943897762776,0.0041142274726530675,0.0008407526521096824
Oregon,-0.00813252766534045,-0.0005529994490357099,-0.0006412710441750652,0.003597500103506058,0.0011192075966465053,0.0036054841856883735,0.001004606272710342
Pennsylvania,-0.005131877378341976,-0.0001365288295475768,-0.0017724294611578262,0.0019055429716491133,0.0008387410536966678,0.004097313616936108,0.00019923802676545446
Rhode Island,-0.00693976141985142,-0.00015797098947244875,-0.000530391701327966,0.002234842013652972,0.0010723015690019717,0.0038388856896924457,0.0004820948383045388
South Carolina,-0.003041316867321342,-5.951063673002854e-05,-0.002107704629928167,0.0011037376356802693,0.0003883765872624474,0.0029173714358021567,0.000799046475234693
South Dakota,-0.0018282749549959343,-0.00010084715383268383,-0.00243044156769176,0.0005006447047152906,0.0003219835301661708,0.0020559873251436104,0.0014809481164952745
Tennessee,-0.003401576345229085,-4.0337316790865774e-05,-0.001608181916941287,0.0013827825390957124,0.0002579013278032219,0.002619821162090953,0.0007895905499713893
Texas,-0.0035807799404110607,-0.0003995929299475745,-0.003090801423737799,0.0023566358507452687,0.00033109239456582343,0.0033617153209048803,0.00102173072788048
Utah,-0.007474272324176634,-9.15858517311352e-06,-0.001960827249601213,0.0036498833704004686,0.0007154083546596461,0.0035502366982820624,0.0015287297356087297
Vermont,-0.008285770378509638,-0.0004337428388330074,-0.002117515541113106,0.004256702160699984,0.0021593681764944025,0.0036132872566873794,0.0008076711645739667
Virginia,-0.005449119064678376,-0.000272252736932016,-0.0019490376996764217,0.0027604631941062774,0.0006398394676041474,0.0038368767348923825,0.0004332301046840476
Washington,-0.010193136732536079,-0.0004156511921351233,-0.001132754020387601,0.005731552131778884,0.0010596231375907383,0.004198055100124547,0.0007523115755646917
West Virginia,-0.001973728263545471,-0.00011089569691624668,-0.0023996641089001902,0.0006541014747723046,0.00025904111085021486,0.0027065519923015584,0.0008645934914378456
Wisconsin,-0.003153056843562596,-0.00023531112675347424,-0.0021132761751470885,0.001301263521570284,0.0004521336298404471,0.00300793914660032,0.0007403078474521214
Wyoming,-0.002315451724330897,-0.0014296613878186648,-0.0008630851332076944,0.0005754858913507163,0.00027936022293635556,0.001861635065877663,0.0018917170651924775
