state,year,gasoline,diesel,ethanol_flex_e85,electric_ev,plug-in_hybrid_electric_phev,hybrid_electric_hev,biodiesel
Alabama,2024,0.8507880910683012,0.02624909858864737,0.08970845781394869,0.0036056454105284847,0.0014010507880910684,0.01598846193468631,0.012259194395796848
Alaska,2024,0.8155752212389381,0.05345132743362832,0.08283185840707964,0.006017699115044248,0.0019469026548672567,0.021415929203539824,0.018761061946902656
Arizona,2024,0.8397210941690292,0.030403800475059382,0.0657880622174546,0.017040839782392153,0.0044900773887058465,0.030986131330932497,0.011569994636426327
Arkansas,2024,0.8306563989732306,0.03351668500183352,0.10007334066740008,0.0034836817015034835,0.0013934726806013934,0.01631829849651632,0.014558122478914559
California,2024,0.8357741145259464,0.019733956632898664,0.0350285084669612,0.041021704945389974,0.011956975214214653,0.05068142189321894,0.005803318321370118
Colorado,2024,0.8262697087057873,0.03676511077256291,0.05991079458893926,0.023310879022044383,0.008938896128925681,0.03142379912262991,0.013380811659110516
Connecticut,2024,0.8863009922822491,0.013953969128996692,0.044962789415656006,0.01357497243660419,0.007752205071664829,0.029355016538037487,0.004100055126791621
Delaware,2024,0.8640437158469946,0.015191256830601093,0.06874316939890711,0.012131147540983607,0.005027322404371585,0.028852459016393443,0.006010928961748634
District of Columbia,2024,0.8302439024390244,0.005853658536585366,0.05268292682926829,0.03284552845528455,0.013983739837398375,0.06276422764227642,0.0016260162601626016
Florida,2024,0.8645831098908171,0.018919324738840386,0.0579055749801583,0.017954053068491387,0.003775284755142753,0.026775563611403076,0.010087088955147042
Georgia,2024,0.8581281811571622,0.021387763581593434,0.07330424846785083,0.012464942349641633,0.0027422873169211594,0.021429313389425574,0.010543263737405214
Hawaii,2024,0.8761948955916473,0.01419953596287703,0.03322505800464037,0.027749419953596286,0.008074245939675173,0.037122969837587005,0.0034338747099767982
Idaho,2024,0.8022431222652517,0.07101544032590655,0.06749484484232762,0.005532364331338329,0.0028164763868631496,0.025247699039380376,0.025650052808932254
Illinois,2024,0.852270919503659,0.016803213490295895,0.07544543429844099,0.012478125994272988,0.004016862869869552,0.03238347120585428,0.006601972637607381
Indiana,2024,0.842383094839768,0.025159582243734466,0.09264703493754771,0.0056198937742621856,0.002485097536017672,0.021927331200155928,0.009777965468513977
Iowa,2024,0.8200859635617141,0.03380805748011291,0.10469591993841416,0.0037528868360277136,0.0023415447780343853,0.021041827046445985,0.014273800359250705
Kansas,2024,0.8301055669476722,0.033264980633401685,0.095200121515911,0.005506189716716033,0.002506265664160401,0.021910837700311384,0.011506037821827296
Kentucky,2024,0.8473592571096924,0.029170556915390243,0.08884907517222236,0.0037851068661838554,0.0016149789295717783,0.01907693860556663,0.010144086401372732
Louisiana,2024,0.8350915419977147,0.030664576302713045,0.09868997953923418,0.003082401084154864,0.0012223314644062393,0.01317992187707597,0.01806924773470093
Maine,2024,0.8400801603206413,0.02156312625250501,0.08200400801603207,0.0077755511022044085,0.007374749498997996,0.03062124248496994,0.010581162324649299
Maryland,2024,0.8521806947027416,0.016957625932369467,0.05949167116603676,0.018977343171955926,0.007318975343451916,0.038354630351750754,0.006719059331693563
Massachusetts,2024,0.8700383308808836,0.010263956255563427,0.050792958744345744,0.016549494068704925,0.009482805602485149,0.038676040474503605,0.004196413973513543
Michigan,2024,0.8356161173534546,0.020316582502431194,0.10131343073732557,0.008881181970497604,0.003936777232305007,0.021007861837865703,0.008928048366120283
Minnesota,2024,0.8251797027880573,0.02456745393602387,0.09842481545347102,0.009183732780501037,0.003894367698060566,0.027764322941894484,0.010985604401991747
Mississippi,2024,0.836012506897186,0.027588743792532646,0.10719146588192018,0.0018024645944454663,0.0008828398013610446,0.01265403715284164,0.013867941879713077
Missouri,2024,0.8231499384777641,0.03100720689049042,0.10021093338020742,0.006011601335911408,0.0029530673229038497,0.023220249604499914,0.013447002988222887
Montana,2024,0.7710644094181748,0.06703638840241292,0.0893169877408056,0.005448530842576377,0.0031134461957579296,0.02403191282350652,0.039988324576765905
Nebraska,2024,0.8198106484780617,0.03878652142929859,0.0992568461773389,0.004631986154942482,0.0023923444976076554,0.01929145882113407,0.015830194441616614
Nevada,2024,0.8456780578320705,0.033284366785217255,0.04762641100974176,0.025359517550641718,0.005180145353332302,0.03154476573372506,0.011326735735271378
New Hampshire,2024,0.860456739427995,0.020675743822491176,0.06260355882141055,0.00914919674375045,0.005907355377854621,0.03061739067790505,0.01059001512859304
New Jersey,2024,0.8741086530004736,0.011149448616467087,0.05243217644273053,0.02351667681482985,0.006981936269535214,0.027765374467221434,0.0040457343887423045
New Mexico,2024,0.8236024202306459,0.04561203909603351,0.07684749444070953,0.006722862905311062,0.0029994311423695505,0.026115736670631433,0.018100015514299014
New York,2024,0.8732933940126574,0.013155087819099765,0.051358173931593545,0.014941690962099125,0.009901870155727797,0.03208774799118254,0.005262035127639906
North Carolina,2024,0.8565877006169451,0.022987243945814213,0.07038882912156673,0.00998968098886864,0.003106681010823984,0.02724658045535381,0.009693283860627483
North Dakota,2024,0.7906132665832291,0.056320400500625784,0.11026282853566959,0.0016270337922403004,0.0012515644555694619,0.012640801001251565,0.027284105131414268
Ohio,2024,0.8615652847733437,0.018936458736923675,0.07985277024409143,0.006722200697404107,0.0028767919411080978,0.022655947307245253,0.007390546299883766
Oklahoma,2024,0.8364820380707028,0.03494585182004675,0.0818663231716044,0.005390964171556701,0.008181861552406852,0.017413291350603502,0.01571966986307905
Oregon,2024,0.8048517378377668,0.056831636277527825,0.048175336122293265,0.020627779093324913,0.008735232983397795,0.04509695582392717,0.015681321861762305
Pennsylvania,2024,0.8687740683762358,0.01875496065769747,0.06330044192723389,0.008809148187706388,0.004664243089375129,0.028230429286743162,0.007466708475008084
Rhode Island,2024,0.890260789291484,0.012462497115162705,0.04754211862450958,0.009577659819986152,0.006923609508423725,0.029194553427186708,0.004038772213247173
South Carolina,2024,0.8624260355029586,0.021972386587771203,0.07885601577909271,0.005285996055226824,0.0021893491124260357,0.019546351084812622,0.009723865877712031
South Dakota,2024,0.7921365752715985,0.05649249870667356,0.10677703052250388,0.002379720641489912,0.0017589239524055872,0.01520951888256596,0.025245732022762545
Tennessee,2024,0.8611843207751253,0.024679697140506697,0.07668987370698192,0.006489846285096205,0.0019500007617190476,0.02004844533142396,0.008957815999146876
Texas,2024,0.8297252865439573,0.02970300832744369,0.08710014442430015,0.011319638631963863,0.0024851734628030604,0.020699535998525028,0.018967212611006975
Utah,2024,0.8127390172574477,0.051836616640421634,0.05881029662242504,0.016775396085740912,0.00498119998714529,0.030851303146190185,0.024006170260629237
Vermont,2024,0.835108210237032,0.024562006183442116,0.0601167983510821,0.017519752662315355,0.011851597389213328,0.03813122638268636,0.012710408794228788
Virginia,2024,0.8615728489581995,0.019589959663951904,0.06106929065077204,0.013796469953497932,0.004123525935822008,0.033656192996428844,0.00619171184132775
Washington,2024,0.8145719758361574,0.040091351112420806,0.048754972742006776,0.02820097244732577,0.007146014439369383,0.04958007956387211,0.011654633858847798
West Virginia,2024,0.8548730222044941,0.030913442361388113,0.08010902805477994,0.002526259805876878,0.0014625714665602977,0.017683818641138146,0.012431857465762532
Wisconsin,2024,0.8337151619013259,0.026571660503292144,0.09533688103183909,0.00582664381708307,0.002723910886623974,0.025471272661675835,0.010354469198160007
Wyoming,2024,0.7628597672994488,0.09384568279240661,0.08940600122473974,0.0022963870177587263,0.0015309246785058174,0.015003061849357012,0.03505817513778322
Alabama,2023,0.853433748725737,0.026421453387979278,0.09178854515572014,0.0027045582208167765,0.001206649052364408,0.013169118105977073,0.01127592735140533
Alaska,2023,0.8190012619433928,0.0537227330088336,0.08436992969172526,0.0048674959437533805,0.0016224986479177934,0.019109428519920677,0.017306652244456464
Arizona,2023,0.8461359944302622,0.030587143188674868,0.06762589928057554,0.013893401407905933,0.003960702405817282,0.02718341455867564,0.010613444728088497
Arkansas,2023,0.8325672770405516,0.03361998665579361,0.10256505300615316,0.0026317740381051227,0.0011861516791459709,0.013714878790125288,0.013714878790125288
California,2023,0.8472859436245549,0.019973433947503526,0.03570933804894347,0.034133846183099316,0.011156112229348154,0.046265133550099286,0.005476192416451395
Colorado,2023,0.8357522845650521,0.037702274370238556,0.061965930786483533,0.016700958312480304,0.006951009286548407,0.028304509814825112,0.012623032864371907
Connecticut,2023,0.8932882004991965,0.014463021848394706,0.045679898793038604,0.010804526960030088,0.006291243546346634,0.025746230382603343,0.0037268779703901254
Delaware,2023,0.8699428320140721,0.015611257695690413,0.07025065963060687,0.009234828496042216,0.004177660510114336,0.02517590149516271,0.005606860158311346
District of Columbia,2023,0.8429672447013488,0.005780346820809248,0.05394990366088632,0.02601156069364162,0.011881824020552344,0.05812459858702633,0.0012845215157353885
Florida,2023,0.8728754881914468,0.01903000010818647,0.05956206116863025,0.013788365626994687,0.003099542371231054,0.022421645948957625,0.009222896584553136
Georgia,2023,0.8631887088342917,0.021568217459487716,0.07521170935703084,0.009660219550444328,0.0023732357553580764,0.01832723470987977,0.00967067433350758
Hawaii,2023,0.8835005574136009,0.014306949089557786,0.034652545522110736,0.023782980304719436,0.006781865477517651,0.033816425120772944,0.00315867707172055
Idaho,2023,0.8073913938645254,0.07134033353922174,0.06840642371834466,0.004375128680255302,0.002367716697549928,0.022493308626724315,0.02362569487337863
Illinois,2023,0.8574619614756643,0.017048470946480623,0.07741929021465847,0.009976661023909929,0.0033455871305079483,0.028587741528352348,0.006160287680426312
Indiana,2023,0.8450754911422635,0.025583563705363715,0.09426987060998152,0.004269379876662359,0.00211015327237335,0.019482112770516744,0.009209428622838729
Iowa,2023,0.822237296895694,0.033918015311561196,0.10701941402590691,0.0029072584552766742,0.001970475175243079,0.01847724262686953,0.01347029750944859
Kansas,2023,0.832571889277076,0.0335547279917073,0.09732406803086728,0.004338311513801973,0.002149959688255845,0.019349637194302608,0.010711406303988943
Kentucky,2023,0.8505603985056039,0.02929016189290162,0.0899626400996264,0.002889165628891656,0.0013947696139476962,0.016712328767123287,0.009190535491905355
Louisiana,2023,0.8369640479360853,0.030758988015978695,0.10122503328894807,0.0021837549933422106,0.0010652463382157123,0.010705725699067909,0.017097203728362185
Maine,2023,0.8436609396628939,0.02190375376597997,0.08509079065222702,0.006025567950492631,0.006188421138343783,0.02735933555899357,0.009771191271069131
Maryland,2023,0.8607056203014996,0.01728252655025655,0.06151306630603397,0.014339127321904458,0.006224891611312199,0.033550773636689075,0.006383994272304204
Massachusetts,2023,0.8773828489809372,0.010694207914446337,0.052189199582486405,0.013514255891885953,0.008020655935834753,0.03429837572561299,0.0039004559687963523
Michigan,2023,0.8411812593650082,0.02058826999539861,0.10308293120332244,0.0059346130703068775,0.0034333447384876765,0.017473483016152057,0.008306098611324138
Minnesota,2023,0.8282848112448222,0.025108463063664384,0.1013761557941852,0.007283221107599286,0.0031606431221657275,0.02444099805649895,0.010345707611064214
Mississippi,2023,0.8382510037941577,0.027701035105168158,0.10874129738092607,0.0013261133826942204,0.0007367296570523446,0.01038788816443806,0.012855932515563414
Missouri,2023,0.824820131009056,0.031893188244979775,0.10299960625693524,0.00481440383720514,0.0024877402727565595,0.02038515230697641,0.012599778072090775
Montana,2023,0.7722821248392522,0.06884954001384905,0.0934810564843209,0.0045504006330992185,0.0024730438223365316,0.02087248986052033,0.037491344346621824
Nebraska,2023,0.8224894644876144,0.03910987768527084,0.10129509713228492,0.0035460992907801418,0.00195292424709631,0.016754034330352555,0.014852502826600883
Nevada,2023,0.855570893314928,0.03383947939262473,0.049536580556103334,0.01869453756655492,0.00418063498323802,0.027450207059751527,0.010727667126799447
New Hampshire,2023,0.8643622839641216,0.021293662947568,0.06533945890760592,0.007219426821264493,0.004812951214176329,0.02683584919419529,0.010136366951068329
New Jersey,2023,0.8827565386832066,0.011609078683755523,0.05380519801300875,0.018497680928726296,0.005612426928671406,0.02390427312896232,0.003814803633669073
New Mexico,2023,0.8280723578499974,0.045871559633027525,0.07857772249002229,0.005338723889493599,0.002539781267817343,0.022961695951899654,0.016638158917742188
New York,2023,0.8813506539727733,0.013390871073938963,0.05259364712163004,0.011682534033276981,0.008212474419432333,0.02793842868582614,0.0048313906931221635
North Carolina,2023,0.8613841613597533,0.023265360463310184,0.07266958084629552,0.00778840393192358,0.00262941842146138,0.02336521179577074,0.008897863181485345
North Dakota,2023,0.7913186535054416,0.05644140723867375,0.1137686661604657,0.0012655024044545685,0.0010124019235636548,0.010377119716527461,0.025816249050873197
Ohio,2023,0.8660049143882367,0.019131011349896643,0.08127267054097273,0.004914388236670697,0.002340184874605094,0.019482039081087407,0.006854791528530754
Oklahoma,2023,0.8412129500813507,0.03435591501803863,0.0830955693366974,0.005376217312362942,0.007781367162630574,0.013299063877950434,0.014878917210969369
Oregon,2023,0.8129842655031072,0.057384635726563535,0.04881660716646833,0.017030278989818855,0.007616025386751289,0.0414914716382388,0.014676715589051963
Pennsylvania,2023,0.8739059457545778,0.018891489487245047,0.06507287138839171,0.006903605216057275,0.003825502035678461,0.024133115669807054,0.0072674704482426295
Rhode Island,2023,0.8972005507113354,0.012620468104635154,0.04807251032583754,0.0073428178063331805,0.005851307939421753,0.025355667737494262,0.003556677374942634
South Carolina,2023,0.8654673523702799,0.022031897224501232,0.08096372040902088,0.004182258419546555,0.0018009725251635883,0.016628979649010465,0.008924819402477338
South Dakota,2023,0.7939648502265945,0.056593345860506246,0.10920747209019564,0.0018790759367746214,0.0014369404222394164,0.01315353155742235,0.02376478390626727
Tennessee,2023,0.8645858971203544,0.024720034457297563,0.07829805562392321,0.0051070637460004925,0.0016920994339158257,0.017428624169333006,0.008168225449175486
Texas,2023,0.8333060664843683,0.030102601257391264,0.09019094584803795,0.008963002781218594,0.002154081068237237,0.017337820677620148,0.017945481883126495
Utah,2023,0.8202132895816243,0.05184577522559475,0.06077112387202625,0.013125512715340444,0.004265791632485644,0.027301066447908123,0.022477440525020508
Vermont,2023,0.8433939806155416,0.024995749022275124,0.062234313892195206,0.013263050501615371,0.009692229212718926,0.03451793912599898,0.011902737629654821
Virginia,2023,0.8670219680228779,0.01986221240088392,0.06301832835044846,0.011036006759391655,0.0034836864682178605,0.02981931626153646,0.005758481736643702
Washington,2023,0.8247651125686934,0.04050700230455593,0.04988772676239438,0.022469420315546888,0.006086391301778645,0.04538202446374756,0.010902322283283106
West Virginia,2023,0.8568467504680396,0.03102433805830436,0.08250869216368013,0.0018721583311045735,0.0012035303557100829,0.014977266648836588,0.011567263974324686
Wisconsin,2023,0.8368682187448885,0.02680697163004562,0.09745015720698617,0.004525380295512786,0.0022717772567835267,0.022463333515075515,0.009614161350707886
Wyoming,2023,0.7651752190237797,0.09527534418022528,0.09026908635794743,0.00172090112640801,0.0012515644555694619,0.013141426783479349,0.03316645807259074
