city,year,ng_emissions_mt_co2e
Akron,2027,586912.7375857201
Akron,2028,581355.241807994
Akron,2029,576986.1347383264
Akron,2030,573142.8855431138
Akron,2031,568913.2392498347
Akron,2032,564085.7837242174
Akron,2033,559028.4761911947
Akron,2034,555327.0352929594
Akron,2035,551164.7101688832
Akron,2036,547288.1404794665
Akron,2037,543819.792494778
Akron,2038,539865.8565883663
Akron,2039,537794.5458120678
Akron,2040,534946.9947832447
Akron,2041,530860.8906766076
Akron,2042,529036.4310872518
Akron,2043,525114.1119541703
Akron,2044,522351.3964655864
Akron,2045,520172.8170340911
Akron,2046,515814.7495149552
Akron,2047,514029.7777624681
Akron,2048,511606.0037429402
Akron,2049,508152.7326561288
Akron,2050,506253.38617312524
Atlanta,2027,884820.44538147
Atlanta,2028,880401.0125114454
Atlanta,2029,877652.2987611678
Atlanta,2030,874102.5312025493
Atlanta,2031,872488.1594185908
Atlanta,2032,868789.0989360304
Atlanta,2033,866002.7462282288
Atlanta,2034,863479.6816646163
Atlanta,2035,861415.7246060101
Atlanta,2036,858610.1708973635
Atlanta,2037,857146.6979363728
Atlanta,2038,854803.4522942717
Atlanta,2039,853982.4281669692
Atlanta,2040,851728.4803889168
Atlanta,2041,851466.1156562092
Atlanta,2042,849834.521556933
Atlanta,2043,849593.3483431314
Atlanta,2044,848894.1983644641
Atlanta,2045,849155.2284040223
Atlanta,2046,849413.9806580406
Atlanta,2047,850236.8943339457
Atlanta,2048,850022.1178984613
Atlanta,2049,849910.3611474307
Atlanta,2050,849644.6978420189
Birmingham,2027,311244.7856072235
Birmingham,2028,308981.7596614704
Birmingham,2029,306848.4760082273
Birmingham,2030,305143.1278364628
Birmingham,2031,303070.0287056597
Birmingham,2032,300823.2263921539
Birmingham,2033,298827.4913175411
Birmingham,2034,296903.20023696375
Birmingham,2035,295074.55604768306
Birmingham,2036,293286.7701697791
Birmingham,2037,291285.68522625876
Birmingham,2038,289914.7125756665
Birmingham,2039,288496.7447283217
Birmingham,2040,287149.54210595833
Birmingham,2041,286097.9865046176
Birmingham,2042,284856.0740608375
Birmingham,2043,283697.30506392824
Birmingham,2044,282959.6915365788
Birmingham,2045,282090.54456917563
Birmingham,2046,281673.80364580697
Birmingham,2047,281134.984849681
Birmingham,2048,280398.67811532173
Birmingham,2049,279753.8274934044
Birmingham,2050,279192.8405020052
Buffalo,2027,1069178.865932247
Buffalo,2028,1066438.5960213668
Buffalo,2029,1064988.007943816
Buffalo,2030,1062691.762352866
Buffalo,2031,1062095.099601851
Buffalo,2032,1060793.344024172
Buffalo,2033,1059657.6277774512
Buffalo,2034,1059609.8257398722
Buffalo,2035,1059433.376201977
Buffalo,2036,1059431.835657075
Buffalo,2037,1060147.3793285303
Buffalo,2038,1060314.7837852335
Buffalo,2039,1061519.528072769
Buffalo,2040,1063384.1228821888
Buffalo,2041,1064402.2007556034
Buffalo,2042,1066139.868563647
Buffalo,2043,1068847.6834603641
Buffalo,2044,1070687.3786530343
Buffalo,2045,1072910.6534353197
Buffalo,2046,1075363.7317684656
Buffalo,2047,1077630.8241524165
Buffalo,2048,1079871.7407316216
Buffalo,2049,1081373.0905028488
Buffalo,2050,1083031.7883315803
Charlotte,2027,912625.1062130892
Charlotte,2028,909155.4871305146
Charlotte,2029,906038.4669773047
Charlotte,2030,902625.3995725777
Charlotte,2031,900930.7960512158
Charlotte,2032,898208.5714949814
Charlotte,2033,894973.9762343514
Charlotte,2034,892701.6696523846
Charlotte,2035,890841.1630462569
Charlotte,2036,888851.1927135611
Charlotte,2037,886357.3147068655
Charlotte,2038,885409.3733885818
Charlotte,2039,884257.6659711632
Charlotte,2040,882622.85882994
Charlotte,2041,881301.4370537102
Charlotte,2042,880611.9815090175
Charlotte,2043,880441.6084993805
Charlotte,2044,880020.7378517821
Charlotte,2045,880172.4572156742
Charlotte,2046,880862.5707414999
Charlotte,2047,881680.3225418681
Charlotte,2048,881679.719849166
Charlotte,2049,881436.160803536
Charlotte,2050,881724.1768227882
Chattanooga,2027,271225.7408
Chattanooga,2028,270368.29120000004
Chattanooga,2029,269510.8416
Chattanooga,2030,268653.39200000005
Chattanooga,2031,267795.9424
Chattanooga,2032,266938.4928
Chattanooga,2033,266081.0432
Chattanooga,2034,265223.5936
Chattanooga,2035,264366.14400000003
Chattanooga,2036,263508.69440000004
Chattanooga,2037,262651.2448
Chattanooga,2038,261793.79520000002
Chattanooga,2039,260936.3456
Chattanooga,2040,260078.896
Chattanooga,2041,259221.44640000002
Chattanooga,2042,258363.99680000002
Chattanooga,2043,257506.54720000003
Chattanooga,2044,256649.0976
Chattanooga,2045,255791.64800000002
Chattanooga,2046,254934.1984
Chattanooga,2047,254076.74880000003
Chattanooga,2048,253219.2992
Chattanooga,2049,252361.84960000002
Chattanooga,2050,251504.40000000002
Cincinnati,2027,837713.4024
Cincinnati,2028,832806.4136000001
Cincinnati,2029,827899.4248
Cincinnati,2030,822992.436
Cincinnati,2031,818085.4472
Cincinnati,2032,813178.4584000001
Cincinnati,2033,808271.4696
Cincinnati,2034,803364.4808
Cincinnati,2035,798457.4920000001
Cincinnati,2036,793550.5032
Cincinnati,2037,788643.5144
Cincinnati,2038,783736.5256
Cincinnati,2039,778829.5368000001
Cincinnati,2040,773922.548
Cincinnati,2041,769015.5592
Cincinnati,2042,764108.5704000001
Cincinnati,2043,759201.5816
Cincinnati,2044,754294.5928
Cincinnati,2045,749387.604
Cincinnati,2046,744480.6152000001
Cincinnati,2047,739573.6264
Cincinnati,2048,734666.6376
Cincinnati,2049,729759.6488000001
Cincinnati,2050,724852.66
Cleveland,2027,1310649.9168
Cleveland,2028,1302247.3352
Cleveland,2029,1293844.7536
Cleveland,2030,1285442.172
Cleveland,2031,1277039.5904
Cleveland,2032,1268637.0088
Cleveland,2033,1260234.4272000003
Cleveland,2034,1251831.8456000001
Cleveland,2035,1243429.264
Cleveland,2036,1235026.6824
Cleveland,2037,1226624.1008000001
Cleveland,2038,1218221.5192
Cleveland,2039,1209818.9376
Cleveland,2040,1201416.3560000001
Cleveland,2041,1193013.7744
Cleveland,2042,1184611.1928
Cleveland,2043,1176208.6112000002
Cleveland,2044,1167806.0296
Cleveland,2045,1159403.448
Cleveland,2046,1151000.8664000002
Cleveland,2047,1142598.2848
Cleveland,2048,1134195.7032
Cleveland,2049,1125793.1216000002
Cleveland,2050,1117390.54
Columbus,2027,1836078.022800873
Columbus,2028,1820588.3295087558
Columbus,2029,1806705.0774060446
Columbus,2030,1791939.184360287
Columbus,2031,1779241.375107398
Columbus,2032,1765694.382772123
Columbus,2033,1752412.2687573968
Columbus,2034,1738488.0432836511
Columbus,2035,1726206.8921186745
Columbus,2036,1715786.4044910162
Columbus,2037,1704788.78966877
Columbus,2038,1693140.0052623865
Columbus,2039,1684244.008103271
Columbus,2040,1675665.336269603
Columbus,2041,1666356.1390036782
Columbus,2042,1657235.488375776
Columbus,2043,1649237.9742284175
Columbus,2044,1640485.5867283815
Columbus,2045,1631862.7098996462
Columbus,2046,1624482.4118111478
Columbus,2047,1617537.7521631555
Columbus,2048,1608973.857913502
Columbus,2049,1599843.754573409
Columbus,2050,1592158.2001904806
Dayton,2027,396089.92023062566
Dayton,2028,392585.5895827253
Dayton,2029,389161.20406466216
Dayton,2030,386364.6918213169
Dayton,2031,383677.52967830974
Dayton,2032,380361.82553476084
Dayton,2033,377702.7704798117
Dayton,2034,374696.0579954586
Dayton,2035,372023.7252599002
Dayton,2036,369565.4495881384
Dayton,2037,367145.7132057484
Dayton,2038,365119.0723020873
Dayton,2039,363048.5752056419
Dayton,2040,360755.51091659686
Dayton,2041,359156.95359775616
Dayton,2042,357149.8656172053
Dayton,2043,355241.95607956976
Dayton,2044,353451.41656893736
Dayton,2045,351336.699094538
Dayton,2046,349784.69617792824
Dayton,2047,348345.0433046101
Dayton,2048,346155.01638432033
Dayton,2049,344492.7344214733
Dayton,2050,342728.2183264999
Hampton,2027,137545.97172159317
Hampton,2028,136903.08251836762
Hampton,2029,136533.73639322797
Hampton,2030,136036.52561543885
Hampton,2031,135887.91442914147
Hampton,2032,135302.7471372201
Hampton,2033,135030.7870551416
Hampton,2034,134686.35752567436
Hampton,2035,134389.57150924328
Hampton,2036,134128.03251823207
Hampton,2037,133823.74882792516
Hampton,2038,133636.28270190206
Hampton,2039,133459.58727142017
Hampton,2040,133179.42979519017
Hampton,2041,133142.23315491626
Hampton,2042,132900.47914718496
Hampton,2043,132841.7216498134
Hampton,2044,132733.6542092383
Hampton,2045,132662.28199244337
Hampton,2046,132686.88573459198
Hampton,2047,132607.9098782233
Hampton,2048,132545.8693775128
Hampton,2049,132366.2724484597
Hampton,2050,132202.10349885488
Jackson,2027,238267.70122787484
Jackson,2028,236823.02542618022
Jackson,2029,235304.14157049463
Jackson,2030,233928.98862957594
Jackson,2031,232799.1154384393
Jackson,2032,231316.29308737325
Jackson,2033,229866.18211311375
Jackson,2034,228577.44085782676
Jackson,2035,227289.7637073784
Jackson,2036,226201.8794340356
Jackson,2037,225021.16666947777
Jackson,2038,223966.85507011792
Jackson,2039,223136.62782701768
Jackson,2040,222188.4522192218
Jackson,2041,221382.6955202694
Jackson,2042,220627.05729116086
Jackson,2043,219767.6462968589
Jackson,2044,219126.90284044854
Jackson,2045,218531.35676303928
Jackson,2046,218088.83338171832
Jackson,2047,217793.1394775944
Jackson,2048,217394.80387216684
Jackson,2049,216968.31646068953
Jackson,2050,216659.7154438721
Kansas City,2027,505603.8842707153
Kansas City,2028,500056.94371103944
Kansas City,2029,495089.2779030424
Kansas City,2030,490563.7765723746
Kansas City,2031,486403.87267715216
Kansas City,2032,481252.5797771882
Kansas City,2033,476093.0880538394
Kansas City,2034,471672.3101138756
Kansas City,2035,467369.49229641794
Kansas City,2036,462962.9715764986
Kansas City,2037,458936.4347290159
Kansas City,2038,455346.1409084777
Kansas City,2039,451747.8759856655
Kansas City,2040,448254.0410839559
Kansas City,2041,445161.6888556448
Kansas City,2042,442085.59523296764
Kansas City,2043,438971.81956006103
Kansas City,2044,435831.5076362556
Kansas City,2045,432403.9794865921
Kansas City,2046,429286.80669028254
Kansas City,2047,426175.31131062313
Kansas City,2048,422848.1769857641
Kansas City,2049,419255.4102653329
Kansas City,2050,415959.2197439962
Lansing,2027,465953.8184
Lansing,2028,463264.73760000005
Lansing,2029,460575.6568
Lansing,2030,457886.576
Lansing,2031,455197.4952
Lansing,2032,452508.4144
Lansing,2033,449819.3336
Lansing,2034,447130.2528
Lansing,2035,444441.172
Lansing,2036,441752.0912
Lansing,2037,439063.0104
Lansing,2038,436373.92960000003
Lansing,2039,433684.84880000004
Lansing,2040,430995.76800000004
Lansing,2041,428306.68720000004
Lansing,2042,425617.6064
Lansing,2043,422928.52560000005
Lansing,2044,420239.4448
Lansing,2045,417550.364
Lansing,2046,414861.28320000006
Lansing,2047,412172.2024
Lansing,2048,409483.1216
Lansing,2049,406794.0408
Lansing,2050,404104.96
Memphis,2027,1119962.300181803
Memphis,2028,1111217.1807374344
Memphis,2029,1102553.9343524799
Memphis,2030,1095807.1967697183
Memphis,2031,1089193.999362657
Memphis,2032,1082104.20764777
Memphis,2033,1074089.0101940474
Memphis,2034,1066849.461809035
Memphis,2035,1060213.100740853
Memphis,2036,1054345.2203085963
Memphis,2037,1048213.7749414658
Memphis,2038,1042767.732850237
Memphis,2039,1037032.873822003
Memphis,2040,1032135.8291287551
Memphis,2041,1027559.7106942462
Memphis,2042,1023364.2124710216
Memphis,2043,1018540.4980014395
Memphis,2044,1014334.5881940349
Memphis,2045,1010280.9567870651
Memphis,2046,1007610.1004657338
Memphis,2047,1004902.9938616303
Memphis,2048,1002168.6790110946
Memphis,2049,998547.9778204393
Memphis,2050,995785.7217690083
Montgomery,2027,197631.5208
Montgomery,2028,196667.9512
Montgomery,2029,195704.38160000002
Montgomery,2030,194740.812
Montgomery,2031,193777.24240000002
Montgomery,2032,192813.6728
Montgomery,2033,191850.1032
Montgomery,2034,190886.53360000002
Montgomery,2035,189922.96400000004
Montgomery,2036,188959.3944
Montgomery,2037,187995.8248
Montgomery,2038,187032.2552
Montgomery,2039,186068.68560000003
Montgomery,2040,185105.116
Montgomery,2041,184141.5464
Montgomery,2042,183177.9768
Montgomery,2043,182214.40720000002
Montgomery,2044,181250.83760000003
Montgomery,2045,180287.268
Montgomery,2046,179323.6984
Montgomery,2047,178360.1288
Montgomery,2048,177396.55920000002
Montgomery,2049,176432.98960000003
Montgomery,2050,175469.41999999998
Nashville,2027,735069.4599942118
Nashville,2028,730613.6316564797
Nashville,2029,726437.3533660249
Nashville,2030,722679.5392001127
Nashville,2031,719257.4748663128
Nashville,2032,715377.5379520566
Nashville,2033,711162.3340559799
Nashville,2034,707341.5322151256
Nashville,2035,704021.6706210477
Nashville,2036,700867.8193362125
Nashville,2037,697606.0056019283
Nashville,2038,694912.7222145058
Nashville,2039,692591.533501529
Nashville,2040,690466.550276414
Nashville,2041,688406.7665568376
Nashville,2042,686447.1431377375
Nashville,2043,684547.5033665347
Nashville,2044,683169.5965014502
Nashville,2045,682053.0816517835
Nashville,2046,681661.5849829768
Nashville,2047,681463.7817454317
Nashville,2048,681264.3504589432
Nashville,2049,680667.3727554528
Nashville,2050,680462.9492654328
Newport News,2027,149837.19520000002
Newport News,2028,149516.7128
Newport News,2029,149196.2304
Newport News,2030,148875.748
Newport News,2031,148555.2656
Newport News,2032,148234.7832
Newport News,2033,147914.30080000003
Newport News,2034,147593.8184
Newport News,2035,147273.336
Newport News,2036,146952.8536
Newport News,2037,146632.3712
Newport News,2038,146311.88880000002
Newport News,2039,145991.4064
Newport News,2040,145670.924
Newport News,2041,145350.44160000002
Newport News,2042,145029.9592
Newport News,2043,144709.4768
Newport News,2044,144388.99440000003
Newport News,2045,144068.51200000002
Newport News,2046,143748.0296
Newport News,2047,143427.5472
Newport News,2048,143107.0648
Newport News,2049,142786.5824
Newport News,2050,142466.1
Oakland,2027,572000.309099609
Oakland,2028,571832.7585601558
Oakland,2029,562055.8573744926
Oakland,2030,555398.644216341
Oakland,2031,550720.1985640035
Oakland,2032,549855.3832234705
Oakland,2033,549170.0326276375
Oakland,2034,548856.7152231971
Oakland,2035,548559.9594114554
Oakland,2036,548369.4428650795
Oakland,2037,549279.4179373872
Oakland,2038,550158.223685733
Oakland,2039,551269.5352611
Oakland,2040,551950.7620794357
Oakland,2041,552149.8629064987
Oakland,2042,553146.9974775534
Oakland,2043,554058.1693813722
Oakland,2044,555027.68167961
Oakland,2045,555720.3823101623
Oakland,2046,556715.8493726272
Oakland,2047,557907.9778932369
Oakland,2048,558214.8614360999
Oakland,2049,559075.3631592278
Oakland,2050,559549.0613542729
Philadelphia,2027,3625616.9050416606
Philadelphia,2028,3618395.46671132
Philadelphia,2029,3613562.4487717506
Philadelphia,2030,3609733.308170338
Philadelphia,2031,3607421.938212212
Philadelphia,2032,3605804.2026906637
Philadelphia,2033,3602561.0558809275
Philadelphia,2034,3602035.6753689535
Philadelphia,2035,3603731.568722123
Philadelphia,2036,3606918.2487206315
Philadelphia,2037,3609734.7651249813
Philadelphia,2038,3614882.3554997887
Philadelphia,2039,3621909.8906403263
Philadelphia,2040,3627563.1690767305
Philadelphia,2041,3634859.0129000647
Philadelphia,2042,3643626.9206058956
Philadelphia,2043,3651142.80291363
Philadelphia,2044,3661324.1504601142
Philadelphia,2045,3671231.457860913
Philadelphia,2046,3680732.035789217
Philadelphia,2047,3691537.529369997
Philadelphia,2048,3701694.9454265935
Philadelphia,2049,3709807.8610880272
Philadelphia,2050,3717487.3637666926
Pittsburgh,2027,1064939.6688
Pittsburgh,2028,1067764.5832
Pittsburgh,2029,1070589.4976000001
Pittsburgh,2030,1073414.412
Pittsburgh,2031,1076239.3264000001
Pittsburgh,2032,1079064.2408
Pittsburgh,2033,1081889.1552
Pittsburgh,2034,1084714.0696
Pittsburgh,2035,1087538.9840000002
Pittsburgh,2036,1090363.8984
Pittsburgh,2037,1093188.8128
Pittsburgh,2038,1096013.7272
Pittsburgh,2039,1098838.6416000002
Pittsburgh,2040,1101663.5559999999
Pittsburgh,2041,1104488.4704
Pittsburgh,2042,1107313.3848
Pittsburgh,2043,1110138.2992000002
Pittsburgh,2044,1112963.2136
Pittsburgh,2045,1115788.128
Pittsburgh,2046,1118613.0424000002
Pittsburgh,2047,1121437.9568
Pittsburgh,2048,1124262.8712
Pittsburgh,2049,1127087.7856
Pittsburgh,2050,1129912.7000000002
Raleigh,2027,374158.2841014687
Raleigh,2028,372328.78622919
Raleigh,2029,370542.85714085645
Raleigh,2030,369440.84174357937
Raleigh,2031,368221.2392925444
Raleigh,2032,366570.8671557761
Raleigh,2033,365104.7308994894
Raleigh,2034,364286.2582600352
Raleigh,2035,363182.8520331129
Raleigh,2036,362034.8174296111
Raleigh,2037,360812.1171796201
Raleigh,2038,360111.87827513914
Raleigh,2039,359187.9033829092
Raleigh,2040,358495.89976871107
Raleigh,2041,357894.50250379456
Raleigh,2042,357466.2021004553
Raleigh,2043,356959.05283455073
Raleigh,2044,356822.1385607327
Raleigh,2045,356762.5827012793
Raleigh,2046,356977.76888670336
Raleigh,2047,356888.36854267016
Raleigh,2048,356738.8617433236
Raleigh,2049,356307.12475030497
Raleigh,2050,356163.1125740416
Rochester,2027,719383.9650962848
Rochester,2028,718224.2703603302
Rochester,2029,717189.5128370144
Rochester,2030,716394.1718252108
Rochester,2031,715998.1136905509
Rochester,2032,715630.0238925633
Rochester,2033,714814.7690160766
Rochester,2034,713820.2112235841
Rochester,2035,715174.1193474815
Rochester,2036,715631.9502999497
Rochester,2037,715754.7928646423
Rochester,2038,716699.8093095799
Rochester,2039,717975.05803901
Rochester,2040,719359.3541760326
Rochester,2041,720437.3467078528
Rochester,2042,721954.8621240675
Rochester,2043,723757.2751231064
Rochester,2044,725564.0162461079
Rochester,2045,727062.296601005
Rochester,2046,729331.6981520166
Rochester,2047,731733.2360861896
Rochester,2048,732867.8109106427
Rochester,2049,734650.6882795342
Rochester,2050,736172.3567728165
Savannah,2027,179538.85629935667
Savannah,2028,178597.96895733476
Savannah,2029,177820.94320773252
Savannah,2030,176981.97085428133
Savannah,2031,176340.48579983576
Savannah,2032,175559.38445767364
Savannah,2033,174705.1326880149
Savannah,2034,174028.51015288563
Savannah,2035,173455.99405834096
Savannah,2036,172801.44877049414
Savannah,2037,172055.75942256796
Savannah,2038,171804.05646008666
Savannah,2039,171201.9083464386
Savannah,2040,170775.94372562767
Savannah,2041,170441.44700742984
Savannah,2042,170086.83889286703
Savannah,2043,169766.98532028543
Savannah,2044,169597.43603864184
Savannah,2045,169540.54560204397
Savannah,2046,169541.9506308413
Savannah,2047,169587.50756327694
Savannah,2048,169711.35257426606
Savannah,2049,169561.90175645135
Savannah,2050,169449.22449548094
St. Louis,2027,1500628.3434083797
St. Louis,2028,1486620.5026255539
St. Louis,2029,1473460.1076375498
St. Louis,2030,1460969.4470863
St. Louis,2031,1450625.7563581795
St. Louis,2032,1440360.115577556
St. Louis,2033,1428012.4666313962
St. Louis,2034,1416682.0648796377
St. Louis,2035,1406497.693203259
St. Louis,2036,1395981.9780369229
St. Louis,2037,1385342.369372473
St. Louis,2038,1376673.6722079383
St. Louis,2039,1368231.985501646
St. Louis,2040,1359079.0871974723
St. Louis,2041,1351544.3026134106
St. Louis,2042,1344503.5889484533
St. Louis,2043,1336643.3443667344
St. Louis,2044,1329438.04299344
St. Louis,2045,1322713.3859124458
St. Louis,2046,1316953.373897413
St. Louis,2047,1310948.945680284
St. Louis,2048,1304934.3982097004
St. Louis,2049,1298091.890395483
St. Louis,2050,1291388.858928855
