city,year,ng_residential_mt_co2e
Akron,2027,349865.5468457994
Akron,2028,346169.66010006727
Akron,2029,343496.92621028493
Akron,2030,341252.2727808128
Akron,2031,338414.7993755816
Akron,2032,335121.6950704011
Akron,2033,331671.29407461087
Akron,2034,329436.8526987929
Akron,2035,326584.451465943
Akron,2036,323956.59468062007
Akron,2037,321692.25115131296
Akron,2038,318789.6100916417
Akron,2039,317680.1464831466
Akron,2040,315796.5504425043
Akron,2041,312583.04764064745
Akron,2042,311614.54743806645
Akron,2043,308562.47533639113
Akron,2044,306619.79698089865
Akron,2045,305233.7017520151
Akron,2046,301546.7725861778
Akron,2047,300387.24197308975
Akron,2048,298623.92121344194
Akron,2049,295925.3528407004
Akron,2050,294716.1405543163
Atlanta,2027,411669.63883657806
Atlanta,2028,409999.0707027529
Atlanta,2029,409653.2453432649
Atlanta,2030,408480.33709262556
Atlanta,2031,408867.830597925
Atlanta,2032,407454.0985521252
Atlanta,2033,407074.22416688094
Atlanta,2034,406717.6569205965
Atlanta,2035,406624.9296772048
Atlanta,2036,405641.7362758319
Atlanta,2037,405975.99252760864
Atlanta,2038,405102.0116364363
Atlanta,2039,405546.3479947273
Atlanta,2040,404608.90760280873
Atlanta,2041,405303.99980668793
Atlanta,2042,404514.22684220324
Atlanta,2043,404981.03962078644
Atlanta,2044,404714.40653026325
Atlanta,2045,405080.2237970093
Atlanta,2046,404870.9885545471
Atlanta,2047,405170.587903991
Atlanta,2048,404499.9542941247
Atlanta,2049,404206.3392275922
Atlanta,2050,403583.26987597713
Birmingham,2027,139015.00537458636
Birmingham,2028,137659.9717912129
Birmingham,2029,136330.60988579196
Birmingham,2030,135351.05015401327
Birmingham,2031,133916.7211689276
Birmingham,2032,132438.8023332011
Birmingham,2033,131287.48707962138
Birmingham,2034,130134.02512644263
Birmingham,2035,128927.53384049908
Birmingham,2036,127744.7511820453
Birmingham,2037,126346.42345061734
Birmingham,2038,125441.00929567506
Birmingham,2039,124396.97071498659
Birmingham,2040,123417.91737329832
Birmingham,2041,122662.7940494318
Birmingham,2042,121703.02623644503
Birmingham,2043,120805.89457343836
Birmingham,2044,120228.08899927858
Birmingham,2045,119402.63402801701
Birmingham,2046,118835.673031699
Birmingham,2047,118095.13014005343
Birmingham,2048,117168.46663678068
Birmingham,2049,116393.19098208987
Birmingham,2050,115625.49384274594
Buffalo,2027,588887.0797715621
Buffalo,2028,585596.0091252615
Buffalo,2029,583289.0757371074
Buffalo,2030,579834.2060594704
Buffalo,2031,577606.9336807609
Buffalo,2032,574626.2009730216
Buffalo,2033,571784.3849732239
Buffalo,2034,569568.2845397665
Buffalo,2035,566818.3758521235
Buffalo,2036,563885.0560694832
Buffalo,2037,561553.2598555688
Buffalo,2038,558236.174175346
Buffalo,2039,555715.5646876816
Buffalo,2040,553902.9500456552
Buffalo,2041,551014.5953869032
Buffalo,2042,548704.3466105126
Buffalo,2043,547114.2489855575
Buffalo,2044,544418.4910298423
Buffalo,2045,542171.1970953193
Buffalo,2046,540022.7396263863
Buffalo,2047,537587.0181447661
Buffalo,2048,535245.0539965023
Buffalo,2049,532517.0051462911
Buffalo,2050,530032.3196440968
Charlotte,2027,439226.5699867061
Charlotte,2028,438550.85579794866
Charlotte,2029,437878.01061945024
Charlotte,2030,436880.7138003527
Charlotte,2031,437236.5118424497
Charlotte,2032,436774.66283165844
Charlotte,2033,435964.51304377563
Charlotte,2034,435861.88397012424
Charlotte,2035,435968.22774959553
Charlotte,2036,435856.4913267162
Charlotte,2037,435209.48796883796
Charlotte,2038,435803.3669759754
Charlotte,2039,435951.0837058114
Charlotte,2040,435673.20711421466
Charlotte,2041,435302.6287093142
Charlotte,2042,435486.6706931656
Charlotte,2043,436049.1783572353
Charlotte,2044,436088.05221477314
Charlotte,2045,436393.32258125197
Charlotte,2046,436636.48419223056
Charlotte,2047,436960.7394784816
Charlotte,2048,436513.30155520333
Charlotte,2049,436101.8726414888
Charlotte,2050,436039.2319433074
Chattanooga,2027,45381.156800000004
Chattanooga,2028,45043.6952
Chattanooga,2029,44706.2336
Chattanooga,2030,44368.772000000004
Chattanooga,2031,44031.3104
Chattanooga,2032,43693.8488
Chattanooga,2033,43356.387200000005
Chattanooga,2034,43018.9256
Chattanooga,2035,42681.464
Chattanooga,2036,42344.002400000005
Chattanooga,2037,42006.5408
Chattanooga,2038,41669.0792
Chattanooga,2039,41331.617600000005
Chattanooga,2040,40994.156
Chattanooga,2041,40656.6944
Chattanooga,2042,40319.232800000005
Chattanooga,2043,39981.7712
Chattanooga,2044,39644.3096
Chattanooga,2045,39306.848000000005
Chattanooga,2046,38969.3864
Chattanooga,2047,38631.9248
Chattanooga,2048,38294.463200000006
Chattanooga,2049,37957.0016
Chattanooga,2050,37619.54
Cincinnati,2027,338004.9344
Cincinnati,2028,335623.6016
Cincinnati,2029,333242.2688
Cincinnati,2030,330860.93600000005
Cincinnati,2031,328479.6032
Cincinnati,2032,326098.27040000004
Cincinnati,2033,323716.9376
Cincinnati,2034,321335.60480000003
Cincinnati,2035,318954.272
Cincinnati,2036,316572.9392
Cincinnati,2037,314191.6064
Cincinnati,2038,311810.2736
Cincinnati,2039,309428.94080000004
Cincinnati,2040,307047.608
Cincinnati,2041,304666.27520000003
Cincinnati,2042,302284.9424
Cincinnati,2043,299903.6096
Cincinnati,2044,297522.2768
Cincinnati,2045,295140.944
Cincinnati,2046,292759.61120000004
Cincinnati,2047,290378.2784
Cincinnati,2048,287996.94560000004
Cincinnati,2049,285615.6128
Cincinnati,2050,283234.28
Cleveland,2027,761517.12
Cleveland,2028,755892.76
Cleveland,2029,750268.4
Cleveland,2030,744644.04
Cleveland,2031,739019.68
Cleveland,2032,733395.3200000001
Cleveland,2033,727770.9600000001
Cleveland,2034,722146.6000000001
Cleveland,2035,716522.24
Cleveland,2036,710897.88
Cleveland,2037,705273.52
Cleveland,2038,699649.16
Cleveland,2039,694024.8
Cleveland,2040,688400.4400000001
Cleveland,2041,682776.0800000001
Cleveland,2042,677151.7200000001
Cleveland,2043,671527.36
Cleveland,2044,665903.0
Cleveland,2045,660278.64
Cleveland,2046,654654.28
Cleveland,2047,649029.92
Cleveland,2048,643405.56
Cleveland,2049,637781.2000000001
Cleveland,2050,632156.8400000001
Columbus,2027,822303.7741647544
Columbus,2028,814788.8246270461
Columbus,2029,808181.9601433489
Columbus,2030,800262.2424030638
Columbus,2031,793523.5947632183
Columbus,2032,786561.212206241
Columbus,2033,780173.5423737817
Columbus,2034,772549.1203919955
Columbus,2035,765887.954548836
Columbus,2036,760812.8535721339
Columbus,2037,754954.1958798094
Columbus,2038,747791.6876294803
Columbus,2039,742984.6152481191
Columbus,2040,738520.8380020813
Columbus,2041,732956.1025204314
Columbus,2042,727503.7889047035
Columbus,2043,723225.6732731985
Columbus,2044,717979.454819313
Columbus,2045,712734.282680442
Columbus,2046,708230.887633145
Columbus,2047,703969.0279004067
Columbus,2048,698238.6149187683
Columbus,2049,692350.8757238406
Columbus,2050,687631.168959309
Dayton,2027,192655.24756816233
Dayton,2028,190761.31577284881
Dayton,2029,188817.90315150266
Dayton,2030,187401.1165851411
Dayton,2031,185910.65571776868
Dayton,2032,183938.968488044
Dayton,2033,182685.57040466357
Dayton,2034,180969.7523542873
Dayton,2035,179441.97264038096
Dayton,2036,178057.51261993908
Dayton,2037,176651.74461328465
Dayton,2038,175508.8700404596
Dayton,2039,174224.65233329483
Dayton,2040,172744.05241082088
Dayton,2041,171908.35131380503
Dayton,2042,170642.91129794065
Dayton,2043,169474.89610967334
Dayton,2044,168383.417374708
Dayton,2045,166929.368881035
Dayton,2046,165959.44224173107
Dayton,2047,165064.55521140207
Dayton,2048,163450.73219796544
Dayton,2049,162453.70798194976
Dayton,2050,161298.5000915154
Hampton,2027,104523.35726271654
Hampton,2028,104071.74490402234
Hampton,2029,103869.18744364435
Hampton,2030,103537.03967618431
Hampton,2031,103528.61611332958
Hampton,2032,103097.22466246664
Hampton,2033,102991.40216798232
Hampton,2034,102794.91224144617
Hampton,2035,102631.47823497055
Hampton,2036,102498.31949015746
Hampton,2037,102320.16324590746
Hampton,2038,102238.39498714686
Hampton,2039,102149.84821738003
Hampton,2040,101962.29291484869
Hampton,2041,101988.11285872047
Hampton,2042,101804.99462833315
Hampton,2043,101794.75676892734
Hampton,2044,101716.12774328263
Hampton,2045,101653.54374755878
Hampton,2046,101644.20494111047
Hampton,2047,101528.49542582789
Hampton,2048,101432.37752302681
Hampton,2049,101238.40897442681
Hampton,2050,101046.76003499902
Jackson,2027,90890.93688394882
Jackson,2028,90165.86126156704
Jackson,2029,89286.80974716046
Jackson,2030,88489.00835039142
Jackson,2031,87866.62838858321
Jackson,2032,87002.74783449303
Jackson,2033,86239.58604655058
Jackson,2034,85576.50486128672
Jackson,2035,84789.29295354261
Jackson,2036,84192.85209599472
Jackson,2037,83504.16498143008
Jackson,2038,82827.11089339004
Jackson,2039,82296.92799504208
Jackson,2040,81644.23082903151
Jackson,2041,81070.15939829941
Jackson,2042,80537.65034598792
Jackson,2043,79885.86858130347
Jackson,2044,79367.0955674016
Jackson,2045,78795.89297844438
Jackson,2046,78209.83964094566
Jackson,2047,77726.98746156639
Jackson,2048,77151.97643763265
Jackson,2049,76600.4978522602
Jackson,2050,76102.41910711664
Kansas City,2027,478330.2748750446
Kansas City,2028,473003.774004692
Kansas City,2029,468236.31941754726
Kansas City,2030,463902.6425379681
Kansas City,2031,459915.56629472156
Kansas City,2032,454953.8572431219
Kansas City,2033,449995.4502726636
Kansas City,2034,445764.73759112245
Kansas City,2035,441635.2828983293
Kansas City,2036,437391.7174614482
Kansas City,2037,433525.26604669733
Kansas City,2038,430074.5569719815
Kansas City,2039,426601.7534680117
Kansas City,2040,423233.6504319875
Kansas City,2041,420254.3498081066
Kansas City,2042,417287.45772239176
Kansas City,2043,414284.13544156076
Kansas City,2044,411244.06765269727
Kansas City,2045,407910.8410909153
Kansas City,2046,404867.5304753899
Kansas City,2047,401831.3368348713
Kansas City,2048,398581.4465930829
Kansas City,2049,395079.8549988016
Kansas City,2050,391864.8191978463
Lansing,2027,146371.31600000002
Lansing,2028,145299.50400000002
Lansing,2029,144227.692
Lansing,2030,143155.88
Lansing,2031,142084.068
Lansing,2032,141012.256
Lansing,2033,139940.44400000002
Lansing,2034,138868.632
Lansing,2035,137796.82
Lansing,2036,136725.008
Lansing,2037,135653.196
Lansing,2038,134581.38400000002
Lansing,2039,133509.57200000001
Lansing,2040,132437.76
Lansing,2041,131365.948
Lansing,2042,130294.13600000001
Lansing,2043,129222.32400000001
Lansing,2044,128150.512
Lansing,2045,127078.70000000001
Lansing,2046,126006.888
Lansing,2047,124935.076
Lansing,2048,123863.26400000001
Lansing,2049,122791.452
Lansing,2050,121719.64000000001
Memphis,2027,586756.1968106523
Memphis,2028,580825.0650398907
Memphis,2029,574654.2538172855
Memphis,2030,570153.530413962
Memphis,2031,565514.9446118107
Memphis,2032,560807.8926869927
Memphis,2033,555407.1227956378
Memphis,2034,550556.4207764016
Memphis,2035,545848.2391042027
Memphis,2036,541851.2015687856
Memphis,2037,537583.2571069001
Memphis,2038,533574.5461020762
Memphis,2039,528993.9969138107
Memphis,2040,525234.9089699239
Memphis,2041,521579.561207215
Memphis,2042,518257.7112987354
Memphis,2043,514243.1675276594
Memphis,2044,510530.5027582513
Memphis,2045,506609.4066576871
Memphis,2046,503473.7326181898
Memphis,2047,500142.7719137096
Memphis,2048,496819.99958654057
Memphis,2049,492797.18783732364
Memphis,2050,489396.28142451606
Montgomery,2027,93001.4456
Montgomery,2028,92305.2984
Montgomery,2029,91609.15120000001
Montgomery,2030,90913.004
Montgomery,2031,90216.85680000001
Montgomery,2032,89520.7096
Montgomery,2033,88824.56240000001
Montgomery,2034,88128.4152
Montgomery,2035,87432.26800000001
Montgomery,2036,86736.1208
Montgomery,2037,86039.97360000001
Montgomery,2038,85343.8264
Montgomery,2039,84647.6792
Montgomery,2040,83951.532
Montgomery,2041,83255.3848
Montgomery,2042,82559.23760000001
Montgomery,2043,81863.0904
Montgomery,2044,81166.94320000001
Montgomery,2045,80470.796
Montgomery,2046,79774.64880000001
Montgomery,2047,79078.5016
Montgomery,2048,78382.35440000001
Montgomery,2049,77686.2072
Montgomery,2050,76990.06
Nashville,2027,149593.34141836915
Nashville,2028,148231.44199013614
Nashville,2029,146796.67253339573
Nashville,2030,145504.7987346289
Nashville,2031,144248.4421973575
Nashville,2032,142988.11555550311
Nashville,2033,141644.51868975643
Nashville,2034,140450.05385764685
Nashville,2035,139250.26118022323
Nashville,2036,138148.85927803395
Nashville,2037,136930.98266682023
Nashville,2038,135812.1241428232
Nashville,2039,134755.29056990638
Nashville,2040,133878.3684124442
Nashville,2041,132833.43906653835
Nashville,2042,131833.7548251139
Nashville,2043,130822.15899661231
Nashville,2044,129984.65599304783
Nashville,2045,129011.12864262328
Nashville,2046,128109.95833674978
Nashville,2047,127228.29766279308
Nashville,2048,126384.08488741257
Nashville,2049,125347.8004264252
Nashville,2050,124443.93397951432
Newport News,2027,92509.0488
Newport News,2028,92362.60320000001
Newport News,2029,92216.1576
Newport News,2030,92069.712
Newport News,2031,91923.26640000001
Newport News,2032,91776.8208
Newport News,2033,91630.37520000001
Newport News,2034,91483.9296
Newport News,2035,91337.48400000001
Newport News,2036,91191.0384
Newport News,2037,91044.5928
Newport News,2038,90898.1472
Newport News,2039,90751.7016
Newport News,2040,90605.25600000001
Newport News,2041,90458.8104
Newport News,2042,90312.36480000001
Newport News,2043,90165.9192
Newport News,2044,90019.47360000001
Newport News,2045,89873.028
Newport News,2046,89726.5824
Newport News,2047,89580.13680000001
Newport News,2048,89433.6912
Newport News,2049,89287.24560000001
Newport News,2050,89140.8
Oakland,2027,281383.0670551392
Oakland,2028,279893.24952196376
Oakland,2029,275933.5057890004
Oakland,2030,272856.1329526567
Oakland,2031,270071.5421981698
Oakland,2032,269195.26809923217
Oakland,2033,268167.3953139155
Oakland,2034,267163.05689853505
Oakland,2035,265978.59835942724
Oakland,2036,264601.680657186
Oakland,2037,264166.0067835819
Oakland,2038,263529.5369891496
Oakland,2039,263031.89183550153
Oakland,2040,262161.53826673503
Oakland,2041,260668.67800248726
Oakland,2042,259863.7976912236
Oakland,2043,259020.0500469927
Oakland,2044,258272.76292605032
Oakland,2045,257163.9285438749
Oakland,2046,256148.98891587163
Oakland,2047,255526.58068709442
Oakland,2048,254288.33319203233
Oakland,2049,253847.3422086066
Oakland,2050,253227.60967793813
Philadelphia,2027,1845718.6291013176
Philadelphia,2028,1836446.3118792179
Philadelphia,2029,1828427.8755618331
Philadelphia,2030,1820302.3886247692
Philadelphia,2031,1811946.6775789792
Philadelphia,2032,1804093.6660888284
Philadelphia,2033,1794518.1014305146
Philadelphia,2034,1785944.1147785468
Philadelphia,2035,1778096.1497621199
Philadelphia,2036,1770416.9082592018
Philadelphia,2037,1761951.1070686807
Philadelphia,2038,1754194.1760937595
Philadelphia,2039,1747435.7630934822
Philadelphia,2040,1739463.4707413865
Philadelphia,2041,1732273.9613718162
Philadelphia,2042,1726036.4564831844
Philadelphia,2043,1717626.2510764003
Philadelphia,2044,1711002.1664292293
Philadelphia,2045,1704351.5799820474
Philadelphia,2046,1696796.768167607
Philadelphia,2047,1690167.0658911874
Philadelphia,2048,1683339.4770963253
Philadelphia,2049,1675765.7589287462
Philadelphia,2050,1668079.978005638
Pittsburgh,2027,529050.648
Pittsburgh,2028,528753.512
Pittsburgh,2029,528456.376
Pittsburgh,2030,528159.24
Pittsburgh,2031,527862.104
Pittsburgh,2032,527564.968
Pittsburgh,2033,527267.832
Pittsburgh,2034,526970.696
Pittsburgh,2035,526673.56
Pittsburgh,2036,526376.424
Pittsburgh,2037,526079.2880000001
Pittsburgh,2038,525782.152
Pittsburgh,2039,525485.0160000001
Pittsburgh,2040,525187.88
Pittsburgh,2041,524890.7440000001
Pittsburgh,2042,524593.608
Pittsburgh,2043,524296.4720000001
Pittsburgh,2044,523999.336
Pittsburgh,2045,523702.2
Pittsburgh,2046,523405.064
Pittsburgh,2047,523107.928
Pittsburgh,2048,522810.792
Pittsburgh,2049,522513.656
Pittsburgh,2050,522216.52
Raleigh,2027,205203.93520721095
Raleigh,2028,204401.08167701843
Raleigh,2029,203514.7154467436
Raleigh,2030,203301.91006378003
Raleigh,2031,202842.59328337052
Raleigh,2032,202020.46162354172
Raleigh,2033,201444.03595154147
Raleigh,2034,201421.11275193802
Raleigh,2035,201038.09313594823
Raleigh,2036,200582.5650099308
Raleigh,2037,200039.54156007423
Raleigh,2038,199912.01327957693
Raleigh,2039,199470.86073867165
Raleigh,2040,199282.47037829485
Raleigh,2041,199035.1670569477
Raleigh,2042,198935.80087860426
Raleigh,2043,198705.7801005778
Raleigh,2044,198748.00272951557
Raleigh,2045,198759.8880307207
Raleigh,2046,198829.95808110203
Raleigh,2047,198579.53613885984
Raleigh,2048,198283.55667109753
Raleigh,2049,197804.7022404435
Raleigh,2050,197547.27058585177
Rochester,2027,370697.8498241545
Rochester,2028,369138.60577816406
Rochester,2029,367482.5522003117
Rochester,2030,365846.1525479087
Rochester,2031,364266.34219585976
Rochester,2032,362679.7788544109
Rochester,2033,360626.24644937343
Rochester,2034,358057.97270651604
Rochester,2035,357543.813970979
Rochester,2036,355873.2462249896
Rochester,2037,353783.3959460075
Rochester,2038,352198.42699797446
Rochester,2039,350768.450345017
Rochester,2040,349483.0796083699
Rochester,2041,347725.3386281378
Rochester,2042,346304.26155101013
Rochester,2043,344986.3938150903
Rochester,2044,343500.37060971133
Rochester,2045,341752.7538155053
Rochester,2046,340681.5860226146
Rochester,2047,339669.17862288817
Rochester,2048,337476.6853969983
Rochester,2049,336189.5079828304
Rochester,2050,334703.48076433584
Savannah,2027,71352.83498433208
Savannah,2028,71057.70453225411
Savannah,2029,70849.7817095149
Savannah,2030,70563.92958846848
Savannah,2031,70372.26229964262
Savannah,2032,70127.17126019511
Savannah,2033,69817.22627341353
Savannah,2034,69641.57997493324
Savannah,2035,69536.56664871793
Savannah,2036,69295.27211692934
Savannah,2037,68960.24285181527
Savannah,2038,69029.51737872626
Savannah,2039,68712.3038181205
Savannah,2040,68575.99123412764
Savannah,2041,68469.2388810155
Savannah,2042,68301.48095290156
Savannah,2043,68144.43052520376
Savannah,2044,68076.12918316969
Savannah,2045,68035.8309829759
Savannah,2046,67933.752567027
Savannah,2047,67856.41485791442
Savannah,2048,67880.58117439749
Savannah,2049,67691.42592451055
Savannah,2050,67503.66374906029
St. Louis,2027,689617.413198913
St. Louis,2028,682154.7438167309
St. Louis,2029,674939.8390073647
St. Louis,2030,668134.304090243
St. Louis,2031,662896.9280480881
St. Louis,2032,658321.7071304278
St. Louis,2033,651937.7016106328
St. Louis,2034,646268.8415618521
St. Louis,2035,641278.8548610753
St. Louis,2036,635577.2072421447
St. Louis,2037,629704.350292469
St. Louis,2038,625145.8830140214
St. Louis,2039,620445.1811640142
St. Louis,2040,615007.1767939609
St. Louis,2041,610855.8440491675
St. Louis,2042,607049.2554870469
St. Louis,2043,602477.2445049217
St. Louis,2044,598251.5047134791
St. Louis,2045,594318.6076156613
St. Louis,2046,590759.2075151075
St. Louis,2047,586988.928373617
St. Louis,2048,583278.5916587452
St. Louis,2049,579149.2533584911
St. Louis,2050,574867.3898671813
